track type=bedGraph name="molecule_180_channel2"
chr14	106743126	106743687	604.7
chr14	106743687	106744249	656.7
chr14	106744249	106744810	690.7
chr14	106744810	106745371	676.6
chr14	106745371	106745932	621
chr14	106745932	106746494	598
chr14	106746494	106747055	588.7
chr14	106747055	106747616	564.6
chr14	106747616	106748178	583.4
chr14	106748178	106748739	581.7
chr14	106748739	106749300	579.5
chr14	106749300	106749861	579.4
chr14	106749861	106750423	572.1
chr14	106750423	106750984	602.6
chr14	106750984	106751545	588.9
chr14	106751545	106752106	556.4
chr14	106752106	106752668	578
chr14	106752668	106753229	578.4
chr14	106753229	106753790	562.4
chr14	106753790	106754352	604.6
chr14	106754352	106754913	607.5
chr14	106754913	106755474	587.5
chr14	106755474	106756035	633.4
chr14	106756035	106756597	619.5
chr14	106756597	106757158	715.5
chr14	106757158	106757719	812.9
chr14	106757719	106758278	791.3
chr14	106758278	106758837	671.9
chr14	106758837	106759396	628.1
chr14	106759396	106759955	607.6
chr14	106759955	106760514	601.1
chr14	106760514	106761073	616.4
chr14	106761073	106761632	610.9
chr14	106761632	106762191	636.7
chr14	106762191	106762750	641.7
chr14	106762750	106763309	741.8
chr14	106763309	106763868	927.1
chr14	106763868	106764425	1015
chr14	106764425	106764982	837.5
chr14	106764982	106765538	665.5
chr14	106765538	106766094	634
chr14	106766094	106766650	627
chr14	106766650	106767206	590.3
chr14	106767206	106767762	577.9
chr14	106767762	106768319	592
chr14	106768319	106768875	595
chr14	106768875	106769431	605.1
chr14	106769431	106769987	591
chr14	106769987	106770543	602.3
chr14	106770543	106771099	613.6
chr14	106771099	106771655	587.9
chr14	106771655	106772212	595.4
chr14	106772212	106772768	588.8
chr14	106772768	106773324	585.4
chr14	106773324	106773880	606
chr14	106773880	106774436	579.5
chr14	106774436	106774992	573.8
chr14	106774992	106775549	591
chr14	106775549	106776105	602.7
chr14	106776105	106776661	601.8
chr14	106776661	106777217	585.2
chr14	106777217	106777773	623.9
chr14	106777773	106778329	627.2
chr14	106778329	106778886	683.4
chr14	106778886	106779435	728.1
chr14	106779435	106779978	683.6
chr14	106779978	106780520	630.5
chr14	106780520	106781063	601.9
chr14	106781063	106781606	600
chr14	106781606	106782149	612.5
